Index,Solution treatment time (h),Solution treatment temperature (℃),Solution cooling way,Aging treatment time (h),Aging treatment temperature (℃),Aging cooling way,2nd aging treatment time (h),2nd aging treatment temperature (℃),2nd aging cooling way,Test temperature (℃),Test stress (MPa),Ti (mass%),Mo (mass%),Al (mass%),Sn (mass%),V (mass%),Zr (mass%),Nb+Ta (mass%),Fe (mass%),W (mass%),Si (mass%),Ni (mass%),B (mass%),Creep rupture life (h)
1,0,1019.85,2,0,699.85,2,0,0,0,600,550,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,16.99999999
2,0,1019.85,2,0,699.85,2,0,0,0,600,476,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,52.00000004
3,0,1019.85,2,0,699.85,2,0,0,0,600,355,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,279.9999998
4,0,1019.85,2,0,699.85,2,0,0,0,600,349,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,330.0000001
5,0,1019.85,2,0,699.85,2,0,0,0,600,295,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,835
6,0,1019.85,2,0,699.85,2,0,0,0,600,275,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,1059.999999
7,0,1019.85,2,0,699.85,2,0,0,0,600,195,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,4770
8,0,1019.85,2,0,699.85,2,0,0,0,625,400,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,31.50000002
9,0,1019.85,2,0,699.85,2,0,0,0,625,300,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,169.9999999
10,0,1019.85,2,0,699.85,2,0,0,0,625,277,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,319.9999998
11,0,1019.85,2,0,699.85,2,0,0,0,625,248,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,544.9999997
12,0,1019.85,2,0,699.85,2,0,0,0,625,173,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,2480.000001
13,0,1019.85,2,0,699.85,2,0,0,0,650,325,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,31.50000002
14,0,1019.85,2,0,699.85,2,0,0,0,650,298,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,64.5
15,0,1019.85,2,0,699.85,2,0,0,0,650,252,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,100
16,0,1019.85,2,0,699.85,2,0,0,0,650,223,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,197.9999999
17,0,1019.85,2,0,699.85,2,0,0,0,650,177,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,640
18,0,1019.85,2,0,699.85,2,0,0,0,650,150,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,1059.999999
19,0,1019.85,2,0,699.85,2,0,0,0,650,135,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,2500.000002
20,1,1070,2,50,610,2,0,0,0,600,450,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,52.00000004
21,1,1070,2,50,610,2,0,0,0,600,360,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,277
22,1,1070,2,2,770,2,50,610,2,600,450,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,39.99999997
23,1,1070,2,2,770,2,50,610,2,600,360,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,188.9999999
24,1,1070,2,2,770,2,0,0,0,600,450,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,39
25,1,1070,2,2,770,2,0,0,0,600,360,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,150
26,0,0,0,0,0,0,0,0,0,650,150,82.95,0.8,6,4,0,4,1,0,1,0.25,0,0,281.0000001
27,0,0,0,0,0,0,0,0,0,650,200,82.95,0.8,6,4,0,4,1,0,1,0.25,0,0,64.19999999
28,0,0,0,0,0,0,0,0,0,650,250,82.95,0.8,6,4,0,4,1,0,1,0.25,0,0,23.49999999
29,0,0,0,0,0,0,0,0,0,675,200,82.95,0.8,6,4,0,4,1,0,1,0.25,0,0,15.2
30,0,0,0,0,0,0,0,0,0,625,200,82.95,0.8,6,4,0,4,1,0,1,0.25,0,0,251.7000003
31,2,1080,2,2,700,2,0,0,0,650,220,85.13,0.5,6.04,3.98,0,3.2,0.6,0,0,0.31,0,0,118.9999999
32,2,1055,2,2,700,2,0,0,0,650,220,85.13,0.5,6.04,3.98,0,3.2,0.6,0,0,0.31,0,0,47.99999996
33,2,1040,2,2,700,2,0,0,0,650,220,85.13,0.5,6.04,3.98,0,3.2,0.6,0,0,0.31,0,0,39.99999997
34,2,1000,2,2,700,2,0,0,0,650,220,85.13,0.5,6.04,3.98,0,3.2,0.6,0,0,0.31,0,0,31.99999998
35,2,960,2,2,700,2,0,0,0,650,220,85.13,0.5,6.04,3.98,0,3.2,0.6,0,0,0.31,0,0,26.99999999
36,2,1080,2,2,700,2,0,0,0,650,220,85.19,0.51,5.97,3.42,0,3.5,0.73,0,0,0.46,0,0,220.0000001
37,2,1055,2,2,700,2,0,0,0,650,220,85.19,0.51,5.97,3.42,0,3.5,0.73,0,0,0.46,0,0,64
38,2,1045,2,2,700,2,0,0,0,650,220,85.19,0.51,5.97,3.42,0,3.5,0.73,0,0,0.46,0,0,55
39,2,1000,2,2,700,2,0,0,0,650,220,85.19,0.51,5.97,3.42,0,3.5,0.73,0,0,0.46,0,0,33.00000001
40,2,970,2,2,700,2,0,0,0,650,220,85.19,0.51,5.97,3.42,0,3.5,0.73,0,0,0.46,0,0,21.00000001
41,2,1065,2,2,700,2,0,0,0,650,220,84.99,0.5,5.75,4.02,0,3.54,0.71,0,0,0.31,0,0,269
42,2,1040,2,2,700,2,0,0,0,650,220,84.99,0.5,5.75,4.02,0,3.54,0.71,0,0,0.31,0,0,117.0000001
43,2,1025,2,2,700,2,0,0,0,650,220,84.99,0.5,5.75,4.02,0,3.54,0.71,0,0,0.31,0,0,102.0000001
44,2,1000,2,2,700,2,0,0,0,650,220,84.99,0.5,5.75,4.02,0,3.54,0.71,0,0,0.31,0,0,71.00000005
45,2,970,2,2,700,2,0,0,0,650,220,84.99,0.5,5.75,4.02,0,3.54,0.71,0,0,0.31,0,0,33.00000001
46,1,950,4,24,600,2,0,0,0,600,125,89.55,0,6,0,4,0,0,0.3,0,0,0,0,22.06999999
47,1,950,4,24,600,2,0,0,0,600,250,89.55,0,6,0,4,0,0,0.3,0,0,0,0,1.229999999
48,1,950,4,24,600,2,0,0,0,600,319,89.55,0,6,0,4,0,0,0.3,0,0,0,0,0.25
49,0,0,0,0,0,0,0,0,0,600,125,89.55,0,6,0,4,0,0,0.3,0,0,0,0,14.00000001
50,0,0,0,0,0,0,0,0,0,600,250,89.55,0,6,0,4,0,0,0.3,0,0,0,0,0.619999999
51,0,0,0,0,0,0,0,0,0,600,319,89.55,0,6,0,4,0,0,0.3,0,0,0,0,0.17
52,0,0,0,0,0,0,0,0,0,475,300,89.48,0,6.2,0,4,0,0,0.2,0,0,0,0,148.3300001
53,0,0,0,0,0,0,0,0,0,500,300,89.48,0,6.2,0,4,0,0,0.2,0,0,0,0,46.67000001
54,0,0,0,0,0,0,0,0,0,550,300,89.48,0,6.2,0,4,0,0,0.2,0,0,0,0,28.61000001
55,0,0,0,0,0,0,0,0,0,475,300,89.42,0,6.2,0,4,0,0,0.2,0,0,0,0,750
56,0,0,0,0,0,0,0,0,0,500,300,89.42,0,6.2,0,4,0,0,0.2,0,0,0,0,154.7200001
57,0,0,0,0,0,0,0,0,0,550,300,89.42,0,6.2,0,4,0,0,0.2,0,0,0,0,6.890000001
58,0,0,0,0,0,0,0,0,0,475,300,88.92,0,6.2,0,4,0,0,0.2,0,0,0,0.11,4722.219997
59,0,0,0,0,0,0,0,0,0,500,300,88.92,0,6.2,0,4,0,0,0.2,0,0,0,0.11,185.28
60,0,0,0,0,0,0,0,0,0,550,300,88.92,0,6.2,0,4,0,0,0.2,0,0,0,0.11,7.670000001
61,0,0,0,0,0,0,0,0,0,600,222,89.74,0,5.98,0,4.07,0,0,0.2,0,0,0,0,2.190000001
62,0,0,0,0,0,0,0,0,0,600,250,89.74,0,5.98,0,4.07,0,0,0.2,0,0,0,0,0.829999999
63,0,0,0,0,0,0,0,0,0,600,278,89.74,0,5.98,0,4.07,0,0,0.2,0,0,0,0,0.34
64,0,0,0,0,0,0,0,0,0,600,300,89.74,0,5.98,0,4.07,0,0,0.2,0,0,0,0,0.19
65,0,0,0,0,0,0,0,0,0,500,291,87.94,0,6.61,0,4.23,0,0,1.18,0,0,0,0,2.810000001
66,0,0,0,0,0,0,0,0,0,500,361,87.94,0,6.61,0,4.23,0,0,1.18,0,0,0,0,1.299
67,0,0,0,0,0,0,0,0,0,500,465,87.94,0,6.61,0,4.23,0,0,1.18,0,0,0,0,0.126
68,0,0,0,0,0,0,0,0,0,500,520,87.94,0,6.61,0,4.23,0,0,1.18,0,0,0,0,0.013
69,0,0,0,0,0,0,0,0,0,600,97,87.94,0,6.61,0,4.23,0,0,1.18,0,0,0,0,0.272
70,0,0,0,0,0,0,0,0,0,600,125,87.94,0,6.61,0,4.23,0,0,1.18,0,0,0,0,0.105
71,0,0,0,0,0,0,0,0,0,600,291,87.94,0,6.61,0,4.23,0,0,1.18,0,0,0,0,0.00281
72,0,0,0,0,0,0,0,0,0,600,319,87.94,0,6.61,0,4.23,0,0,1.18,0,0,0,0,0.00157
73,1.5,1020,2,4,700,2,0,0,0,650,240,83.65,0.5,5.8,4,0,3.5,1.3,0,0.8,0.4,0,0,174.4999999
74,2,1050,2,2,700,2,0,0,0,600,300,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,304.8000002
75,2,1050,2,2,700,2,0,0,0,600,350,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,89
76,2,1050,2,2,700,2,0,0,0,600,400,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,37.50000002
77,2,1030,2,2,700,2,0,0,0,600,250,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,455.0000004
78,2,1030,2,2,700,2,0,0,0,600,300,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,110
79,2,1030,2,2,700,2,0,0,0,600,350,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,52.00000004
80,2,1030,2,2,700,2,0,0,0,600,400,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,30.00000002
81,2,1010,2,2,700,2,0,0,0,600,250,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,279.9999998
82,2,1010,2,2,700,2,0,0,0,600,300,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,103.0000001
83,2,1010,2,2,700,2,0,0,0,600,350,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,56
84,2,1010,2,2,700,2,0,0,0,600,400,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,21.00000001
85,2,990,2,2,700,2,0,0,0,600,250,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,250.0000002
86,2,990,2,2,700,2,0,0,0,600,300,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,78
87,2,990,2,2,700,2,0,0,0,600,350,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,38.00000003
88,2,990,2,2,700,2,0,0,0,600,400,85.02,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0,0,19